iter	Passed	Remaining
1001	3472	6924
1002	3475	6919
1003	3477	6914
1004	3480	6908
1005	3482	6903
1006	3486	6899
1007	3488	6894
1008	3493	6893
1009	3497	6890
1010	3499	6885
1011	3502	6879
1012	3504	6874
1013	3508	6872
1014	3511	6867
1015	3514	6863
1016	3517	6859
1017	3520	6855
1018	3524	6851
1019	3527	6847
1020	3530	6842
1021	3532	6837
1022	3535	6832
1023	3538	6827
1024	3540	6821
1025	3543	6818
1026	3546	6813
1027	3549	6809
1028	3552	6803
1029	3556	6801
1030	3559	6797
1031	3562	6792
1032	3564	6787
1033	3567	6783
1034	3571	6780
1035	3574	6776
1036	3577	6771
1037	3579	6766
1038	3582	6760
1039	3585	6756
1040	3588	6752
1041	3591	6749
1042	3594	6744
1043	3596	6739
1044	3600	6735
1045	3604	6732
1046	3607	6729
1047	3609	6723
1048	3612	6718
1049	3615	6713
1050	3617	6709
1051	3621	6705
1052	3624	6701
1053	3626	6696
1054	3629	6690
1055	3631	6685
1056	3635	6682
1057	3638	6678
1058	3641	6674
1059	3643	6668
1060	3646	6663
1061	3649	6659
1062	3652	6655
1063	3653	6648
1064	3655	6642
1065	3658	6637
1066	3661	6632
1067	3664	6628
1068	3667	6625
1069	3670	6620
1070	3672	6615
1071	3675	6610
1072	3677	6605
1073	3679	6599
1074	3682	6595
1075	3685	6590
1076	3687	6584
1077	3690	6579
1078	3692	6574
1079	3695	6569
1080	3698	6564
1081	3700	6560
1082	3703	6555
1083	3705	6550
1084	3708	6544
1085	3710	6539
1086	3713	6536
1087	3716	6531
1088	3719	6526
1089	3721	6521
1090	3724	6516
1091	3727	6512
1092	3729	6507
1093	3732	6502
1094	3734	6497
1095	3737	6492
1096	3739	6487
1097	3742	6482
1098	3745	6478
1099	3747	6473
1100	3750	6468
1101	3752	6463
1102	3755	6458
1103	3757	6453
1104	3760	6448
1105	3762	6443
1106	3765	6438
1107	3768	6434
1108	3771	6430
1109	3773	6425
1110	3776	6421
1111	3779	6417
1112	3782	6412
1113	3784	6406
1114	3785	6400
1115	3788	6395
1116	3790	6390
1117	3794	6386
1118	3796	6381
1119	3799	6376
1120	3801	6371
1121	3804	6367
1122	3806	6363
1123	3810	6359
1124	3812	6354
1125	3815	6349
1126	3818	6345
1127	3820	6340
1128	3823	6335
1129	3825	6331
1130	3828	6326
1131	3830	6320
1132	3832	6315
1133	3835	6310
1134	3837	6306
1135	3840	6301
1136	3842	6296
1137	3845	6292
1138	3848	6287
1139	3851	6283
1140	3854	6279
1141	3856	6274
1142	3859	6269
1143	3861	6265
1144	3864	6260
1145	3866	6255
1146	3869	6251
1147	3872	6246
1148	3874	6241
1149	3877	6237
1150	3879	6232
1151	3882	6228
1152	3885	6223
1153	3888	6220
1154	3892	6217
1155	3895	6213
1156	3897	6208
1157	3900	6203
1158	3902	6199
1159	3905	6194
1160	3907	6189
1161	3910	6185
1162	3912	6180
1163	3915	6175
1164	3917	6171
1165	3920	6167
1166	3923	6162
1167	3925	6157
1168	3928	6152
1169	3930	6148
1170	3933	6143
1171	3936	6139
1172	3938	6134
1173	3941	6130
1174	3943	6125
1175	3946	6121
1176	3949	6116
1177	3951	6111
1178	3954	6107
1179	3957	6103
1180	3959	6098
1181	3962	6094
1182	3965	6090
1183	3968	6086
1184	3971	6082
1185	3974	6078
1186	3977	6074
1187	3979	6069
1188	3982	6065
1189	3985	6062
1190	3988	6057
1191	3990	6052
1192	3993	6048
1193	3995	6043
1194	3998	6039
1195	4001	6035
1196	4003	6030
1197	4006	6026
1198	4009	6022
1199	4012	6018
1200	4014	6014
1201	4017	6009
1202	4020	6005
1203	4023	6001
1204	4027	5999
1205	4031	5996
1206	4034	5993
1207	4037	5990
1208	4042	5987
1209	4045	5984
1210	4050	5983
1211	4053	5979
1212	4058	5978
1213	4062	5976
1214	4065	5972
1215	4069	5970
1216	4072	5966
1217	4076	5963
1218	4079	5960
1219	4083	5957
1220	4086	5953
1221	4089	5950
1222	4092	5946
1223	4096	5943
1224	4099	5940
1225	4102	5936
1226	4106	5933
1227	4109	5930
1228	4113	5928
1229	4117	5925
1230	4120	5921
1231	4123	5917
1232	4128	5915
1233	4131	5912
1234	4134	5908
1235	4137	5905
1236	4142	5903
1237	4145	5900
1238	4149	5898
1239	4152	5894
1240	4155	5890
1241	4159	5887
1242	4162	5884
1243	4165	5880
1244	4169	5877
1245	4171	5872
1246	4176	5870
1247	4179	5867
1248	4182	5863
1249	4186	5860
1250	4189	5856
1251	4192	5853
1252	4195	5850
1253	4199	5846
1254	4203	5844
1255	4207	5842
1256	4212	5841
1257	4218	5841
1258	4222	5838
1259	4227	5838
1260	4231	5836
1261	4235	5833
1262	4240	5831
1263	4243	5827
1264	4246	5823
1265	4249	5820
1266	4252	5816
1267	4256	5814
1268	4259	5810
1269	4263	5807
1270	4266	5803
1271	4270	5801
1272	4273	5797
1273	4276	5794
1274	4279	5790
1275	4283	5787
1276	4286	5783
1277	4290	5781
1278	4293	5777
1279	4296	5772
1280	4299	5770
1281	4303	5767
1282	4306	5763
1283	4309	5759
1284	4312	5755
1285	4315	5752
1286	4319	5748
1287	4323	5746
1288	4326	5743
1289	4329	5738
1290	4331	5734
1291	4334	5730
1292	4336	5725
1293	4340	5722
1294	4342	5717
1295	4345	5712
1296	4348	5709
1297	4350	5705
1298	4353	5700
1299	4356	5696
1300	4358	5692
1301	4361	5687
1302	4363	5683
1303	4366	5679
1304	4369	5675
1305	4371	5670
1306	4374	5666
1307	4377	5662
1308	4379	5657
1309	4383	5654
1310	4385	5650
1311	4388	5645
1312	4390	5641
1313	4393	5636
1314	4395	5632
1315	4399	5629
1316	4402	5625
1317	4404	5621
1318	4407	5616
1319	4409	5612
1320	4412	5608
1321	4415	5604
1322	4417	5600
1323	4420	5595
1324	4422	5591
1325	4425	5586
1326	4428	5583
1327	4431	5579
1328	4434	5575
1329	4436	5571
1330	4439	5566
1331	4441	5562
1332	4444	5558
1333	4448	5555
1334	4449	5549
1335	4452	5545
1336	4454	5541
1337	4457	5536
1338	4459	5532
1339	4462	5528
1340	4465	5523
1341	4467	5519
1342	4470	5515
1343	4472	5511
1344	4475	5506
1345	4478	5502
1346	4480	5498
1347	4483	5494
1348	4485	5489
1349	4487	5484
1350	4490	5480
1351	4492	5476
1352	4495	5471
1353	4498	5468
1354	4500	5464
1355	4503	5459
1356	4505	5455
1357	4508	5451
1358	4511	5447
1359	4513	5442
1360	4516	5438
1361	4518	5434
1362	4521	5430
1363	4523	5425
1364	4526	5421
1365	4529	5417
1366	4531	5413
1367	4534	5409
1368	4536	5404
1369	4539	5400
1370	4541	5396
1371	4543	5391
1372	4546	5387
1373	4549	5383
1374	4551	5379
1375	4554	5375
1376	4556	5371
1377	4559	5366
1378	4562	5362
1379	4564	5358
1380	4567	5354
1381	4569	5349
1382	4571	5345
1383	4574	5341
1384	4577	5337
1385	4579	5332
1386	4582	5328
1387	4583	5323
1388	4586	5318
1389	4588	5314
1390	4591	5311
1391	4593	5306
1392	4596	5302
1393	4598	5297
1394	4601	5293
1395	4603	5289
1396	4605	5284
1397	4607	5280
1398	4610	5276
1399	4613	5272
1400	4615	5267
1401	4617	5263
1402	4620	5259
1403	4623	5255
1404	4625	5251
1405	4628	5247
1406	4631	5243
1407	4633	5239
1408	4635	5234
1409	4638	5230
1410	4639	5225
1411	4642	5221
1412	4644	5216
1413	4647	5212
